Segment,Year,BEV_sales,DV_sales,BEV_stock,DV_stock,BEV_VMT,DV_VMT,diesel,electricity,BEV_incentive,infrastructure_incentive,carbon_emissions
Day_cab,2020,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8456774282.044035,0.0,0.0,0.0,85920826705.5674
Day_cab,2021,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8432655612.199751,0.0,0.0,0.0,85675781019.94946
Day_cab,2022,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8384418272.511183,0.0,0.0,0.0,85185689648.71362
Day_cab,2023,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8312062262.96969,0.0,0.0,0.0,84450552591.77205
Day_cab,2024,0.0,90600.0,0.0,906000.0,0.0,51939937598.22914,8215587583.583914,0.0,0.0,0.0,83470369849.21257
Day_cab,2025,100.0,90500.0,100.0,905900.0,5732884.944629411,51934204713.28453,8094193920.800901,15669214.644717148,8334230.821380037,136639.79217540502,82242455287.4262
Day_cab,2026,160.0,90440.0,260.0,905740.0,14905500.856036466,51925032097.37315,7948243993.718772,39904633.735279605,10337164.829739755,275581.37218519236,80767471161.99681
Day_cab,2027,450.0,90150.0,710.0,905290.0,40703483.10686885,51899234115.122406,7776051483.235749,105717400.21846639,21544280.465376858,553545.3053621431,79038480922.52505
Day_cab,2028,1800.0,88800.0,2510.0,903490.0,143895412.11019787,51796042186.119415,7570134017.126815,359571067.315132,59368738.66613541,1334198.5473721903,77022518446.3934
Day_cab,2029,10770.0,79830.0,13280.0,892720.0,761327120.6468067,51178610477.584854,7278340566.505946,1822234405.7409873,214943304.86807162,4244582.056006294,74479850378.7362
Day_cab,2030,49660.0,40940.0,62940.0,843060.0,3608277784.1499004,48331659814.09123,6705818220.811614,8307247436.641767,440267479.3710228,9075547.692320503,70440527910.83241
Day_cab,2031,41600.0,49000.0,104540.0,801460.0,5993157921.115843,45946779677.133224,6198147221.122541,13522534756.910717,0.0,0.0,66544477195.905136
Day_cab,2032,56690.0,33910.0,161230.0,744770.0,9243130396.226402,42696807202.03348,5608903075.844426,20333651550.04729,0.0,0.0,62073934868.40119
Day_cab,2033,72110.0,18490.0,233340.0,672660.0,13377113729.798857,38562823868.47478,4944181778.333284,28620960318.93451,0.0,0.0,56996019791.23039
Day_cab,2034,82680.0,7920.0,316020.0,589980.0,18117063002.01555,33822874596.270737,4239388379.6100416,37691382308.344696,0.0,0.0,51454749362.21387
Day_cab,2035,88310.0,2290.0,404230.0,501770.0,23174040811.656555,28765896786.62973,3527335574.467061,46902728261.942726,0.0,0.0,45616948279.200386
Sleeper,2020,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8765655012.554077,0.0,0.0,0.0,89059054927.54942
Sleeper,2021,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8745117462.184935,0.0,0.0,0.0,88850393415.79893
Sleeper,2022,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8704042361.448101,0.0,0.0,0.0,88433070392.31271
Sleeper,2023,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8642429710.339586,0.0,0.0,0.0,87807085857.0502
Sleeper,2024,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8560279508.86157,0.0,0.0,0.0,86972439810.03355
Sleeper,2025,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8457591757.015867,0.0,0.0,0.0,85929132251.28122
Sleeper,2026,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8334366454.794157,0.0,0.0,0.0,84677163180.70863
Sleeper,2027,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8190603602.20147,0.0,0.0,0.0,83216532598.36694
Sleeper,2028,0.0,57600.0,0.0,576000.0,0.0,50258306310.524826,8026303199.246679,0.0,0.0,0.0,81547240504.34627
Sleeper,2029,140.0,57460.0,140.0,575860.0,12215560.561581496,50246090749.96321,7839783963.682173,29960075.167304467,3707854.4405892994,242688.88331243882,79660950416.95221
Sleeper,2030,6260.0,51340.0,6400.0,569600.0,558425625.6723005,49699880684.851,7561463158.163929,1319720610.5900364,69880454.93583025,5013880.624160051,77191348016.68956
Sleeper,2031,5480.0,52120.0,11880.0,564120.0,1036577567.6542093,49221728742.86778,7294185303.589839,2405108765.4888244,0.0,0.0,74744111909.43835
Sleeper,2032,10870.0,46730.0,22750.0,553250.0,1985028591.25701,48273277719.26239,6969897492.10454,4471441735.274359,0.0,0.0,71932913241.94777
Sleeper,2033,19750.0,37850.0,42500.0,533500.0,3708295170.48013,46550011140.03456,6555508922.566612,8068440641.990205,0.0,0.0,68510543176.979065
Sleeper,2034,30910.0,26690.0,73410.0,502590.0,6405316434.468174,43852989876.037994,6034035847.744692,13451665176.988224,0.0,0.0,64297454548.44824
Sleeper,2035,42830.0,14770.0,116240.0,459760.0,10142405426.271688,40115900884.22392,5405935497.109333,20569562401.20246,0.0,0.0,59213058411.281525
Bus,2020,200.0,5800.0,200.0,71800.0,7757224.353000781,2784843542.7268596,393414715.31589586,15671064.146763636,0.0,0.0,4003628341.358702
Bus,2021,5630.0,370.0,5830.0,66170.0,226123089.88997012,2566477677.189945,362509715.471332,444357633.95605636,508555052.8477546,2398470.397318129,3862219271.4364195
Bus,2022,5790.0,210.0,11620.0,60380.0,450694734.9093492,2341906032.170632,330720395.13338244,872419310.6357994,484528167.097878,4138469.509905668,3699664810.2546186
Bus,2023,5890.0,110.0,17510.0,54490.0,679144992.1052321,2113455774.9748192,298396878.0130185,1294845086.8372831,451408040.0926718,5295563.922742026,3517667641.7023
Bus,2024,5960.0,40.0,23470.0,48530.0,910310277.8246654,1882290489.255457,265715752.02971786,1709107338.3072681,415053526.10923904,5872125.925147767,3317343432.68618
Bus,2025,5990.0,10.0,29460.0,42540.0,1142639147.1970277,1649961619.8831449,232887033.34284592,2112204575.6898503,375217779.3100934,5875821.271340372,3100123348.8155375
Bus,2026,5990.0,10.0,35450.0,36550.0,1374968016.5693398,1417632750.5108328,200056788.59197795,2502051586.309975,277692274.4524754,5512205.801894009,2867261381.2875032
Bus,2027,5990.0,10.0,41440.0,30560.0,1607296885.9416518,1185303881.1385207,167225017.77711394,2878648370.1673827,194167599.35990953,4808370.799264993,2619310064.5579896
Bus,2028,5990.0,10.0,47430.0,24570.0,1839625755.313964,952975011.7661716,134391720.8982548,3241994927.262346,124639894.20038764,3837520.3404624993,2356821933.0830936
Bus,2029,6000.0,0.0,53430.0,18570.0,2072342485.903926,720258281.176138,101515839.39553413,3592675725.5917945,69226326.19418895,2669631.6735884463,2080102972.5588708
Bus,2030,6000.0,0.0,59430.0,12570.0,2305059216.493888,487541550.5861045,68639957.89281376,3930084176.5798965,27608113.99632089,1369683.376153688,1789945373.2801979
Bus,2031,6000.0,0.0,65430.0,6570.0,2537775947.08385,254824819.99607205,35764076.39009277,4254220280.2263656,0.0,0.0,1486902592.1311245
Bus,2032,6000.0,0.0,71230.0,770.0,2762735453.320813,29865313.759052947,3984057.6041273903,4549412972.38472,0.0,0.0,1178741150.9485898
Bus,2033,6000.0,0.0,71600.0,400.0,2777086318.373861,15514448.706001563,2013175.9459792885,4418317811.5389595,0.0,0.0,1064502366.4778044
Bus,2034,6000.0,0.0,71810.0,190.0,2785231403.9445095,7369363.135350741,926614.7812172738,4274575196.4812512,0.0,0.0,960079929.8745966
Bus,2035,6000.0,0.0,71920.0,80.0,2789497877.338659,3102889.741200311,374250.3988696944,4123196134.560229,0.0,0.0,863488778.1083226
